No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
8.0|942500.0|24.0|12.0|TUNJA|6010|ACTIVIDADES DE PROGRAMACION Y TRANSMISION EN EL SERVICIO DE RADIODIFUSION SONORA|
1.0|0.0|0.0|1.0|CORRALES|3512|TRANSMISION DE ENERGIA ELECTRICA|
6.0|688750.0|9.0|23.0|TUNJA|4541|COMERCIO DE MOTOCICLETAS Y DE SUS PARTES- PIEZAS Y ACCESORIOS|
2.0|362500.0|10.0|4.0|DUITAMA|5612|EXPENDIO POR AUTOSERVICIO DE COMIDAS PREPARADAS|
4.0|3336000.0|24.0|61.0|SOGAMOSO|0161|ACTIVIDADES DE APOYO A LA AGRICULTURA|
23.0|15188750.0|446.0|65.0|SANTAFE DE BOGOTA|8121|LIMPIEZA GENERAL INTERIOR DE EDIFICIOS|
11.0|4893750.0|33.0|100.0|SANTAFE DE BOGOTA|4663|COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION- ARTICULOS DE FERRETERIA- PINTURAS- PRODUCTOS DE VIDRIO- EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION|
5.0|181250.0|4.0|2.0|VILLA DE LEYVA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
30.0|5328750.0|147.0|56.0|SANTAFE DE BOGOTA|4645|COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS- MEDICINALES- COSMETICOS Y DE TOCADOR|
2.0|2585400.0|33.0|29.0|TUNJA|0125|CULTIVO DE FLOR DE CORTE|
8.0|108750.0|2.0|7.0|SAMACA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
17.0|1160000.0|13.0|46.0|CHIQUINQUIRA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
16.0|942500.0|11.0|51.0|CHIQUINQUIRA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
1.0|41700.0|0.0|1.0|SABOYA|0124|CULTIVO DE CAÑ DE AZUCAR|
4.0|72500.0|2.0|6.0|BUCARAMANGA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
2.0|398750.0|3.0|58.0|VILLA DE LEYVA|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
3.0|2138750.0|33.0|130.0|PUERTO BOYACA|7810|ACTIVIDADES DE AGENCIAS DE EMPLEO|
1.0|145000.0|1.0|1.0|GARAGOA|4642|COMERCIO AL POR MAYOR DE PRENDAS DE VESTIR|
3.0|36250.0|4.0|3.0|RAQUIRA|2393|FABRICACION DE OTROS PRODUCTOS DE CERAMICA Y PORCELANA|
1.0|0.0|1.0|2.0|NOBSA|0145|CRIA DE AVES DE CORRAL|
1.0|108750.0|1.0|0.0|MONIQUIRA|4663|COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION- ARTICULOS DE FERRETERIA- PINTURAS- PRODUCTOS DE VIDRIO- EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION|
4.0|326250.0|3.0|9.0|DUITAMA|2592|TRATAMIENTO Y REVESTIMIENTO DE METALES- MECANIZADO|
16.0|2827500.0|66.0|24.0|TUNJA|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
2.0|72500.0|3.0|0.0|TENZA|6910|ACTIVIDADES JURIDICAS|
5.0|0.0|2.0|2.0|SOGAMOSO|0000|NO DEFINIDA ACTIVIDAD ECONOMICA|
346.0|10476250.0|329.0|71.0|TUNJA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
14.0|1051250.0|11.0|21.0|SANTAFE DE BOGOTA|7490|OTRAS ACTIVIDADES PROFESIONALES- CIENTIFICAS Y TECNICAS NCP|
5.0|2211250.0|12.0|66.0|NOBSA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
40.0|11382500.0|115.0|522.0|DUITAMA|4111|CONSTRUCCION DE EDIFICIOS RESIDENCIALES|
24.0|2501250.0|28.0|76.0|CHIQUINQUIRA|4711|COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS- BEBIDAS O TABACO|
16.0|1209300.0|11.0|23.0|TUNJA|0150|EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)|
10.0|834000.0|9.0|19.0|CHIQUINQUIRA|0150|EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)|
22.0|17653750.0|176.0|425.0|DUITAMA|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
45.0|5437500.0|263.0|105.0|DUITAMA|8621|ACTIVIDADES DE LA PRACTICA MEDICA- SIN INTERNACION|
66.0|28373640.0|72.0|1364.0|DUITAMA|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
2.0|1196250.0|3.0|50.0|SAN MATEO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
6.0|3045000.0|66.0|55.0|DUITAMA|8121|LIMPIEZA GENERAL INTERIOR DE EDIFICIOS|
36.0|5473750.0|66.0|187.0|TUNJA|4530|COMERCIO DE PARTES- PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES|
3.0|398750.0|4.0|15.0|SOGAMOSO|2012|FABRICACION DE ABONOS Y COMPUESTOS INORGANICOS NITROGENADOS|
6.0|906250.0|10.0|28.0|DUITAMA|7120|ENSAYOS Y ANALISIS TECNICOS|
54.0|8230480.0|52.0|387.0|SANTAFE DE BOGOTA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
24.0|2642880.0|12.0|94.0|TUNJA|4321|INSTALACIONES ELECTRICAS|
8.0|1160000.0|17.0|18.0|SANTAFE DE BOGOTA|4322|INSTALACIONES DE FONTANERIA- CALEFACCION Y AIRE ACONDICIONADO|
53.0|8410000.0|116.0|209.0|DUITAMA|4530|COMERCIO DE PARTES- PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES|
5.0|1015000.0|11.0|21.0|DUITAMA|1051|ELABORACION DE PRODUCTOS DE MOLINERIA|
3.0|217500.0|2.0|6.0|SOGAMOSO|4311|DEMOLICION|
6.0|1957500.0|7.0|53.0|SANTAFE DE BOGOTA|4723|COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL)- PRODUCTOS CARNICOS- PESCADOS Y PRODUCTOS DE MAR- EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|141630.0|20.0|99.0|PAZ DEL RIO|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
2.0|108750.0|2.0|3.0|DUITAMA|2022|FABRICACION DE PINTURAS- BARNICES Y REVESTIMIENTOS SIMILARES- TINTAS PARA IMPRESION Y MASILLAS|
5.0|181250.0|6.0|3.0|DUITAMA|4762|COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS- EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|0.0|1.0|0.0|TOCA|4774|COMERCIO AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN ESTABLECIMIENTOS ESPECIALIZADOS|
6.0|507500.0|18.0|24.0|SOGAMOSO|4541|COMERCIO DE MOTOCICLETAS Y DE SUS PARTES- PIEZAS Y ACCESORIOS|
1.0|0.0|0.0|1.0|OICATA|7220|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES|
8.0|580000.0|26.0|47.0|TUNJA|6311|PROCESAMIENTO DE DATOS- ALOJAMIENTO (HOSTING) Y ACTIVIDADES RELACIONADAS|
7.0|652500.0|4.0|21.0|DUITAMA|1610|ASERRADO- ACEPILLADO E IMPREGNACION DE LA MADERA|
1.0|72500.0|0.0|11.0|SUSACON|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
17.0|17218750.0|37.0|458.0|SANTAFE DE BOGOTA|4921|TRANSPORTE DE PASAJEROS|
3.0|253750.0|2.0|9.0|MACANAL|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
23.0|10875000.0|121.0|188.0|SANTAFE DE BOGOTA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
1.0|0.0|0.0|1.0|SOCORRO|4721|COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS|
14.0|13557500.0|474.0|101.0|SOGAMOSO|8692|ACTIVIDADES DE APOYO TERAPEUTICO|
2.0|0.0|2.0|2.0|MONIQUIRA|4729|COMERCIO AL POR MENOR DE OTROS PRODUCTOS ALIMENTICIOS NCP- EN ESTABLECIMIENTOS ESPECIALIZADOS|
3.0|290000.0|9.0|4.0|CHIQUINQUIRA|8512|EDUCACION PREESCOLAR|
2.0|797500.0|16.0|11.0|TUNJA|6521|SERVICIOS DE SEGUROS SOCIALES DE SALUD|
14.0|5800000.0|12.0|230.0|TASCO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
1.0|0.0|0.0|1.0|GARAGOA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
1.0|108750.0|0.0|2.0|SORA|5621|CATERING PARA EVENTOS|
5.0|507500.0|2.0|20.0|PAIPA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
8.0|543750.0|15.0|8.0|PUERTO BOYACA|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
3.0|217500.0|3.0|2.0|SANTAFE DE BOGOTA|2599|FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL NCP|
1.0|41700.0|1.0|1.0|PUERTO BOYACA|0144|CRIA DE GANADO PORCINO|
8.0|2503800.0|31.0|50.0|TUNJA|4632|COMERCIO AL POR MAYOR DE BEBIDAS Y TABACO|
1.0|0.0|1.0|0.0|ZETAQUIRA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
1.0|0.0|0.0|1.0|YOPAL|6110|ACTIVIDADES DE TELECOMUNICACIONES ALAMBRICAS|
1.0|0.0|1.0|3.0|BOYACA|0141|CRIA DE GANADO BOVINO Y BUFALINO|
1.0|145000.0|4.0|8.0|PAIPA|7120|ENSAYOS Y ANALISIS TECNICOS|
27.0|2573750.0|20.0|103.0|TUNJA|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
1.0|0.0|0.0|0.0|PUERTO BOYACA|4799|OTROS TIPOS DE COMERCIO AL POR MENOR NO REALIZADO EN ESTABLECIMIENTOS- PUESTOS DE VENTA O MERCADOS|
8.0|16599130.0|368.0|197.0|BUCARAMANGA|7810|ACTIVIDADES DE AGENCIAS DE EMPLEO|
16.0|3770000.0|47.0|61.0|TUNJA|4721|COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS|
3.0|362500.0|1.0|4.0|CALI|4645|COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS- MEDICINALES- COSMETICOS Y DE TOCADOR|
1.0|0.0|0.0|0.0|NOBSA|0990|ACTIVIDADES DE APOYO PARA OTRAS ACTIVIDADES DE EXPLOTACION DE MINAS Y CANTERAS|
1.0|0.0|0.0|0.0|EL COCUY|9004|CREACION AUDIOVISUAL|
9.0|25483750.0|678.0|389.0|TUNJA|6412|BANCOS COMERCIALES|
3.0|1341250.0|17.0|26.0|COMBITA|8411|ACTIVIDADES LEGISLATIVAS DE LA ADMINISTRACION PUBLICA|
1.0|36250.0|0.0|1.0|AQUITANIA|4921|TRANSPORTE DE PASAJEROS|
13.0|834000.0|5.0|63.0|PUERTO BOYACA|0143|CRIA DE OVEJAS Y CABRAS|
3.0|145000.0|2.0|4.0|SANTAFE DE BOGOTA|5811|EDICION DE LIBROS|
26.0|2610000.0|24.0|89.0|TUNJA|4390|OTRAS ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCION DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
1.0|0.0|1.0|0.0|MEDELLIN|6920|ACTIVIDADES DE CONTABILIDAD- TENEDURIA DE LIBROS- AUDITORIA FINANCIERA Y ASESORIA TRIBUTARIA|
9.0|2501250.0|22.0|63.0|DUITAMA|4661|COMERCIO AL POR MAYOR DE COMBUSTIBLES SOLIDOS- LIQUIDOS- GASEOSOS Y PRODUCTOS CONEXOS|
5.0|507500.0|24.0|42.0|TUNJA|4329|OTRAS INSTALACIONES ESPECIALIZADAS|
1.0|0.0|0.0|1.0|DUITAMA|3821|TRATAMIENTO Y DISPOSICION DE DESECHOS NO PELIGROSOS|
14.0|1740000.0|17.0|55.0|DUITAMA|3312|MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO|
23.0|1993750.0|44.0|19.0|DUITAMA|5511|ALOJAMIENTO EN HOTELES|
7.0|542100.0|6.0|20.0|DUITAMA|0161|ACTIVIDADES DE APOYO A LA AGRICULTURA|
2.0|0.0|0.0|2.0|CHIA|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
17.0|20662500.0|423.0|327.0|TUNJA|4620|COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS- ANIMALES VIVOS|
127.0|2755000.0|116.0|31.0|SOGAMOSO|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
1.0|0.0|0.0|1.0|MEDELLIN|4921|TRANSPORTE DE PASAJEROS|
1.0|36250.0|1.0|0.0|SANTAFE DE BOGOTA|1062|DESCAFEINADO- TOSTION Y MOLIENDA DEL CAFE|
12.0|1196250.0|33.0|2.0|DUITAMA|8512|EDUCACION PREESCOLAR|
4.0|978750.0|4.0|17.0|DUITAMA|1690|FABRICACION DE OTROS PRODUCTOS DE MADERA- FABRICACION DE ARTICULOS DE CORCHO- CESTERIA Y ESPARTERIA|
14.0|3480000.0|1.0|158.0|SOCOTA|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
4.0|471250.0|13.0|4.0|SANTAFE DE BOGOTA|5612|EXPENDIO POR AUTOSERVICIO DE COMIDAS PREPARADAS|
3.0|145000.0|3.0|0.0|GARAGOA|4774|COMERCIO AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN ESTABLECIMIENTOS ESPECIALIZADOS|
8.0|978750.0|3.0|23.0|BELEN|4923|TRANSPORTE DE CARGA POR CARRETERA|
2.0|471250.0|3.0|11.0|DUITAMA|6120|ACTIVIDADES DE TELECOMUNICACIONES INALAMBRICAS|
14.0|2102500.0|45.0|25.0|TUNJA|5613|EXPENDIO DE COMIDAS PREPARADAS EN CAFETERIAS|
57.0|7685000.0|196.0|66.0|TUNJA|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|471250.0|15.0|5.0|TUNJA|6130|ACTIVIDADES DE TELECOMUNICACION SATELITAL|
1.0|0.0|0.0|0.0|SAN ANDRES DE TUMACO|5511|ALOJAMIENTO EN HOTELES|
11.0|5328750.0|84.0|88.0|DUITAMA|1081|ELABORACION DE PRODUCTOS DE PANADERIA|
1.0|0.0|1.0|0.0|SOATA|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
11.0|6090000.0|110.0|57.0|DUITAMA|5613|EXPENDIO DE COMIDAS PREPARADAS EN CAFETERIAS|
15.0|2175000.0|55.0|59.0|PUERTO BOYACA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
9.0|761250.0|19.0|6.0|SANTAFE DE BOGOTA|2023|FABRICACION DE JABONES Y DETERGENTES- PREPARADOS PARA LIMPIAR Y PULIR- PERFUMES Y PREPARADOS DE TOCADOR|
17.0|1232500.0|9.0|38.0|SANTA ROSA DE VITERBO|4923|TRANSPORTE DE CARGA POR CARRETERA|
5.0|616250.0|11.0|11.0|SOGAMOSO|4652|COMERCIO AL POR MAYOR DE EQUIPO- PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES|
5.0|3588750.0|65.0|64.0|DUITAMA|4690|COMERCIO AL POR MAYOR NO ESPECIALIZADO|
1.0|36250.0|0.0|1.0|CALI|4711|COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS- BEBIDAS O TABACO|
1.0|0.0|0.0|1.0|FLORESTA|0144|CRIA DE GANADO PORCINO|
1.0|41700.0|0.0|2.0|RAMIRIQUI|0150|EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)|
1.0|72500.0|0.0|4.0|PAIPA|2396|CORTE- TALLADO Y ACABADO DE LA PIEDRA|
1.0|108750.0|1.0|6.0|DUITAMA|2392|FABRICACION DE MATERIALES DE ARCILLA PARA LA CONSTRUCCION|
4.0|725000.0|4.0|25.0|SANTAFE DE BOGOTA|4520|MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES|
3.0|688750.0|18.0|19.0|DUITAMA|4390|OTRAS ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCION DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
3.0|1160000.0|29.0|16.0|DUITAMA|1082|ELABORACION DE CACAO- CHOCOLATE Y PRODUCTOS DE CONFITERIA|
1.0|145000.0|3.0|4.0|GIRON|8121|LIMPIEZA GENERAL INTERIOR DE EDIFICIOS|
1.0|0.0|5.0|4.0|BARRANQUILLA|5914|ACTIVIDADES DE EXHIBICION DE PELICULAS CINEMATOGRAFICAS Y VIDEOS|
3.0|72500.0|5.0|6.0|BELEN|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
38.0|4640000.0|77.0|57.0|TUNJA|6810|ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS|
1.0|0.0|1.0|2.0|RAMIRIQUI|1020|PROCESAMIENTO Y CONSERVACION DE FRUTAS- LEGUMBRES- HORTALIZAS Y TUBERCULOS|
3.0|2066250.0|76.0|1.0|DUITAMA|8899|OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO N.C.P|
9.0|2066250.0|36.0|66.0|CHIQUINQUIRA|4731|COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES|
62.0|5691250.0|166.0|26.0|TUNJA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
6.0|108750.0|4.0|9.0|CHIQUINQUIRA|4111|CONSTRUCCION DE EDIFICIOS RESIDENCIALES|
12.0|580000.0|17.0|95.0|SANTAFE DE BOGOTA|4111|CONSTRUCCION DE EDIFICIOS RESIDENCIALES|
2.0|217500.0|2.0|1.0|CHIQUINQUIRA|4649|COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMESTICOS NCP|
5.0|1015000.0|12.0|36.0|SANTAFE DE BOGOTA|4661|COMERCIO AL POR MAYOR DE COMBUSTIBLES SOLIDOS- LIQUIDOS- GASEOSOS Y PRODUCTOS CONEXOS|
8.0|1558750.0|21.0|50.0|MONIQUIRA|1082|ELABORACION DE CACAO- CHOCOLATE Y PRODUCTOS DE CONFITERIA|
1.0|797500.0|0.0|25.0|SOACHA|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
2.0|83400.0|2.0|2.0|TUNJA|0210|SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES|
5.0|1341250.0|88.0|44.0|TUNJA|8129|OTRAS ACTIVIDADES DE LIMPIEZA DE EDIFICIOS E INSTALACIONES INDUSTRIALES|
1.0|108750.0|1.0|5.0|NOBSA|2023|FABRICACION DE JABONES Y DETERGENTES- PREPARADOS PARA LIMPIAR Y PULIR- PERFUMES Y PREPARADOS DE TOCADOR|
1.0|36250.0|1.0|0.0|GARAGOA|0020|PENSIONADOS|
3.0|108750.0|1.0|7.0|TIBANA|4752|COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA- PINTURAS Y PRODUCTOS DE VIDRIO EN ESTABLECIMIENTOS ESPECIALIZADOS|
17.0|435000.0|15.0|41.0|TUNJA|6201|ACTIVIDADES DE DESARROLLO DE SISTEMAS INFORMATICOS (PLANIFICACION- ANALISIS- DISEÑ- PROGRAMACION- PRUEBAS)|
1.0|0.0|0.0|0.0|VILLA DE LEYVA|4721|COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS|
16.0|6633750.0|165.0|77.0|TUNJA|4645|COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS- MEDICINALES- COSMETICOS Y DE TOCADOR|
112.0|4270760.0|110.0|13.0|DUITAMA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
124.0|18197500.0|375.0|304.0|TUNJA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
1.0|0.0|0.0|0.0|DUITAMA|2819|FABRICACION DE OTROS TIPOS DE MAQUINARIA Y EQUIPO DE USO GENERAL NCP|
2.0|108750.0|1.0|12.0|CHITA|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
3.0|688750.0|7.0|13.0|TUNJA|1011|PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS|
7.0|2066250.0|30.0|12.0|DUITAMA|2023|FABRICACION DE JABONES Y DETERGENTES- PREPARADOS PARA LIMPIAR Y PULIR- PERFUMES Y PREPARADOS DE TOCADOR|
6.0|2102500.0|37.0|21.0|DUITAMA|7911|ACTIVIDADES DE LAS AGENCIAS DE VIAJE|
12.0|2863750.0|43.0|40.0|PAIPA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
24.0|1740000.0|49.0|26.0|DUITAMA|9491|ACTIVIDADES DE ASOCIACIONES RELIGIOSAS|
29.0|3733750.0|107.0|51.0|DUITAMA|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
