No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
8.0|2794800.0|69.0|84.0|SOGAMOSO|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
16.0|2334480.0|16.0|86.0|PAIPA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
2.0|98640.0|16.0|0.0|DUITAMA|8730|ACTIVIDADES DE ATENCION EN INSTITUCIONES PARA EL CUIDADO DE PERSONAS MAYORES Y/O DISCAPACITADAS|
4.0|131520.0|5.0|4.0|DUITAMA|4755|COMERCIO AL POR MENOR DE ARTICULOS Y UTENSILIOS DE USO DOMESTICO|
14.0|17163360.0|846.0|332.0|DUITAMA|8522|EDUCACION MEDIA ACADEMICA|
13.0|5129280.0|113.0|105.0|DUITAMA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
16.0|1380960.0|20.0|38.0|TUNJA|4729|COMERCIO AL POR MENOR DE OTROS PRODUCTOS ALIMENTICIOS NCP- EN ESTABLECIMIENTOS ESPECIALIZADOS|
58.0|3616800.0|138.0|68.0|SOGAMOSO|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
13.0|690480.0|18.0|18.0|SANTAFE DE BOGOTA|7310|PUBLICIDAD|
5.0|197280.0|19.0|7.0|VILLA DE LEYVA|4711|COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS- BEBIDAS O TABACO|
1.0|0.0|0.0|0.0|PAIPA|7420|ACTIVIDADES DE FOTOGRAFIA|
1.0|0.0|0.0|2.0|CARTAGENA|4754|COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO- MUEBLES Y EQUIPOS DE ILUMINACION|
8.0|920640.0|23.0|14.0|TUNJA|6010|ACTIVIDADES DE PROGRAMACION Y TRANSMISION EN EL SERVICIO DE RADIODIFUSION SONORA|
2.0|65760.0|1.0|2.0|TUNJA|7710|ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES|
1.0|558960.0|0.0|9.0|SATIVANORTE|4923|TRANSPORTE DE CARGA POR CARRETERA|
19.0|1808400.0|51.0|19.0|SOGAMOSO|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
1.0|65760.0|0.0|2.0|RAQUIRA|6120|ACTIVIDADES DE TELECOMUNICACIONES INALAMBRICAS|
4.0|32880.0|4.0|0.0|MIRAFLORES|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
4.0|328800.0|9.0|18.0|TUNJA|4541|COMERCIO DE MOTOCICLETAS Y DE SUS PARTES- PIEZAS Y ACCESORIOS|
2.0|197280.0|6.0|17.0|SANTAFE DE BOGOTA|7210|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERIA|
6.0|920640.0|22.0|31.0|PAIPA|4731|COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES|
1.0|0.0|0.0|1.0|CORRALES|3512|TRANSMISION DE ENERGIA ELECTRICA|
3.0|131520.0|3.0|5.0|DUITAMA|2592|TRATAMIENTO Y REVESTIMIENTO DE METALES- MECANIZADO|
38.0|9633840.0|193.0|222.0|SANTAFE DE BOGOTA|7820|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL|
1.0|493200.0|10.0|0.0|JERICO|8899|OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO N.C.P|
4.0|3290340.0|24.0|61.0|SOGAMOSO|0161|ACTIVIDADES DE APOYO A LA AGRICULTURA|
22.0|12593040.0|382.0|53.0|SANTAFE DE BOGOTA|8121|LIMPIEZA GENERAL INTERIOR DE EDIFICIOS|
4.0|164400.0|2.0|2.0|VILLA DE LEYVA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
8.0|1282320.0|31.0|27.0|PUERTO BOYACA|5511|ALOJAMIENTO EN HOTELES|
1.0|164400.0|6.0|3.0|SANTA MARIA|5611|EXPENDIO A LA MESA DE COMIDAS PREPARADAS|
7.0|1644000.0|27.0|81.0|TUNJA|7120|ENSAYOS Y ANALISIS TECNICOS|
8.0|98640.0|1.0|7.0|SAMACA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
21.0|1315200.0|17.0|62.0|CHIQUINQUIRA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
28.0|5458080.0|143.0|58.0|SANTAFE DE BOGOTA|4645|COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS- MEDICINALES- COSMETICOS Y DE TOCADOR|
17.0|1216560.0|10.0|46.0|CHIQUINQUIRA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
1.0|37820.0|0.0|1.0|SABOYA|0124|CULTIVO DE CAÑ DE AZUCAR|
6.0|0.0|2.0|9.0|BUCARAMANGA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
3.0|230160.0|2.0|20.0|VILLA DE LEYVA|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
1.0|65760.0|1.0|1.0|GARAGOA|4642|COMERCIO AL POR MAYOR DE PRENDAS DE VESTIR|
1.0|0.0|1.0|0.0|NOBSA|0145|CRIA DE AVES DE CORRAL|
3.0|230160.0|8.0|10.0|TUNJA|4922|TRANSPORTE MIXTO|
2.0|0.0|0.0|1.0|SANTA ROSA DE VITERBO|4663|COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION- ARTICULOS DE FERRETERIA- PINTURAS- PRODUCTOS DE VIDRIO- EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION|
1.0|197280.0|1.0|0.0|MONIQUIRA|4663|COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION- ARTICULOS DE FERRETERIA- PINTURAS- PRODUCTOS DE VIDRIO- EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION|
1.0|75640.0|0.0|1.0|VILLA DE LEYVA|0111|CULTIVO DE CEREALES (EXCEPTO ARROZ)- LEGUMBRES Y SEMILLAS OLEAGINOSAS|
3.0|65760.0|1.0|1.0|GUAYATA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
4.0|328800.0|5.0|4.0|SANTAFE DE BOGOTA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
19.0|3320880.0|50.0|22.0|TUNJA|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
2.0|65760.0|3.0|0.0|TENZA|6910|ACTIVIDADES JURIDICAS|
6.0|394560.0|10.0|108.0|GARAGOA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
349.0|11639520.0|327.0|64.0|TUNJA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
59.0|22654320.0|51.0|1150.0|DUITAMA|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
43.0|10949040.0|99.0|461.0|DUITAMA|4111|CONSTRUCCION DE EDIFICIOS RESIDENCIALES|
22.0|3452400.0|31.0|108.0|CHIQUINQUIRA|4711|COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS- BEBIDAS O TABACO|
15.0|1021140.0|12.0|20.0|TUNJA|0150|EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)|
10.0|832040.0|8.0|20.0|CHIQUINQUIRA|0150|EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)|
22.0|16966080.0|163.0|361.0|DUITAMA|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
5.0|328800.0|12.0|14.0|SOGAMOSO|4541|COMERCIO DE MOTOCICLETAS Y DE SUS PARTES- PIEZAS Y ACCESORIOS|
44.0|6806160.0|255.0|92.0|DUITAMA|8621|ACTIVIDADES DE LA PRACTICA MEDICA- SIN INTERNACION|
5.0|2794800.0|59.0|57.0|DUITAMA|8121|LIMPIEZA GENERAL INTERIOR DE EDIFICIOS|
1.0|4110000.0|42.0|194.0|PAZ DEL RIO|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
15.0|1052160.0|15.0|28.0|SANTAFE DE BOGOTA|7490|OTRAS ACTIVIDADES PROFESIONALES- CIENTIFICAS Y TECNICAS NCP|
35.0|5490960.0|62.0|178.0|TUNJA|4530|COMERCIO DE PARTES- PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES|
3.0|295920.0|5.0|12.0|SOGAMOSO|2012|FABRICACION DE ABONOS Y COMPUESTOS INORGANICOS NITROGENADOS|
50.0|8154240.0|101.0|200.0|DUITAMA|4530|COMERCIO DE PARTES- PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES|
5.0|1052160.0|12.0|23.0|DUITAMA|1051|ELABORACION DE PRODUCTOS DE MOLINERIA|
4.0|920640.0|10.0|26.0|DUITAMA|7120|ENSAYOS Y ANALISIS TECNICOS|
3.0|65760.0|2.0|4.0|SOGAMOSO|4311|DEMOLICION|
5.0|1545360.0|5.0|47.0|SANTAFE DE BOGOTA|4723|COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL)- PRODUCTOS CARNICOS- PESCADOS Y PRODUCTOS DE MAR- EN ESTABLECIMIENTOS ESPECIALIZADOS|
3.0|1578240.0|2.0|83.0|SAN MATEO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
26.0|3222240.0|10.0|89.0|TUNJA|4321|INSTALACIONES ELECTRICAS|
7.0|1150800.0|19.0|19.0|SANTAFE DE BOGOTA|4322|INSTALACIONES DE FONTANERIA- CALEFACCION Y AIRE ACONDICIONADO|
51.0|6345840.0|55.0|336.0|SANTAFE DE BOGOTA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
1.0|98640.0|1.0|3.0|DUITAMA|2022|FABRICACION DE PINTURAS- BARNICES Y REVESTIMIENTOS SIMILARES- TINTAS PARA IMPRESION Y MASILLAS|
4.0|230160.0|4.0|3.0|DUITAMA|4762|COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS- EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|0.0|1.0|0.0|TOCA|4774|COMERCIO AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|0.0|0.0|1.0|OICATA|7220|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES|
7.0|5063520.0|43.0|110.0|NOBSA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
14.0|1172420.0|4.0|59.0|PUERTO BOYACA|0143|CRIA DE OVEJAS Y CABRAS|
7.0|558960.0|3.0|27.0|DUITAMA|1610|ASERRADO- ACEPILLADO E IMPREGNACION DE LA MADERA|
1.0|98640.0|0.0|11.0|SUSACON|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
3.0|197280.0|2.0|8.0|MACANAL|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
8.0|394560.0|25.0|48.0|TUNJA|6311|PROCESAMIENTO DE DATOS- ALOJAMIENTO (HOSTING) Y ACTIVIDADES RELACIONADAS|
1.0|65760.0|0.0|1.0|SOCORRO|4721|COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS|
17.0|11902560.0|454.0|86.0|SOGAMOSO|8692|ACTIVIDADES DE APOYO TERAPEUTICO|
1.0|0.0|0.0|0.0|RAQUIRA|4112|CONSTRUCCION DE EDIFICIOS NO RESIDENCIALES|
2.0|65760.0|2.0|2.0|MONIQUIRA|4729|COMERCIO AL POR MENOR DE OTROS PRODUCTOS ALIMENTICIOS NCP- EN ESTABLECIMIENTOS ESPECIALIZADOS|
3.0|230160.0|10.0|0.0|CHIQUINQUIRA|8512|EDUCACION PREESCOLAR|
1.0|65760.0|0.0|2.0|SORA|5621|CATERING PARA EVENTOS|
7.0|460320.0|16.0|9.0|PUERTO BOYACA|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|32880.0|0.0|1.0|SANTAFE DE BOGOTA|2599|FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL NCP|
1.0|37820.0|1.0|1.0|PUERTO BOYACA|0144|CRIA DE GANADO PORCINO|
9.0|1249440.0|17.0|51.0|CHIQUINQUIRA|1040|ELABORACION DE PRODUCTOS LACTEOS|
7.0|2038560.0|26.0|45.0|TUNJA|4632|COMERCIO AL POR MAYOR DE BEBIDAS Y TABACO|
1.0|0.0|1.0|0.0|ZETAQUIRA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
1.0|0.0|0.0|1.0|YOPAL|6110|ACTIVIDADES DE TELECOMUNICACIONES ALAMBRICAS|
19.0|2597520.0|33.0|30.0|TUNJA|1081|ELABORACION DE PRODUCTOS DE PANADERIA|
1.0|0.0|1.0|3.0|BOYACA|0141|CRIA DE GANADO BOVINO Y BUFALINO|
9.0|3518160.0|51.0|93.0|SANTAFE DE BOGOTA|4112|CONSTRUCCION DE EDIFICIOS NO RESIDENCIALES|
4.0|295920.0|1.0|16.0|PAIPA|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
1.0|0.0|0.0|1.0|SOGAMOSO|5920|ACTIVIDADES DE GRABACION DE SONIDO Y EDICION DE MUSICA|
1.0|0.0|0.0|0.0|PUERTO BOYACA|4799|OTROS TIPOS DE COMERCIO AL POR MENOR NO REALIZADO EN ESTABLECIMIENTOS- PUESTOS DE VENTA O MERCADOS|
1.0|0.0|0.0|0.0|CALI|4645|COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS- MEDICINALES- COSMETICOS Y DE TOCADOR|
22.0|1701900.0|12.0|39.0|SOGAMOSO|0141|CRIA DE GANADO BOVINO Y BUFALINO|
8.0|14105520.0|329.0|178.0|BUCARAMANGA|7810|ACTIVIDADES DE AGENCIAS DE EMPLEO|
1.0|0.0|0.0|0.0|EL COCUY|9004|CREACION AUDIOVISUAL|
3.0|1413840.0|17.0|27.0|COMBITA|8411|ACTIVIDADES LEGISLATIVAS DE LA ADMINISTRACION PUBLICA|
1.0|131520.0|0.0|1.0|AQUITANIA|4921|TRANSPORTE DE PASAJEROS|
13.0|2630400.0|0.0|138.0|SOCOTA|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
1.0|0.0|1.0|0.0|MEDELLIN|6920|ACTIVIDADES DE CONTABILIDAD- TENEDURIA DE LIBROS- AUDITORIA FINANCIERA Y ASESORIA TRIBUTARIA|
1.0|65760.0|0.0|1.0|DUITAMA|3821|TRATAMIENTO Y DISPOSICION DE DESECHOS NO PELIGROSOS|
7.0|832040.0|6.0|19.0|DUITAMA|0161|ACTIVIDADES DE APOYO A LA AGRICULTURA|
18.0|1972800.0|45.0|23.0|TUNJA|5613|EXPENDIO DE COMIDAS PREPARADAS EN CAFETERIAS|
3.0|65760.0|0.0|3.0|CHIA|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
1.0|657600.0|17.0|6.0|TUNJA|6130|ACTIVIDADES DE TELECOMUNICACION SATELITAL|
1.0|361680.0|6.0|4.0|BARRANQUILLA|5914|ACTIVIDADES DE EXHIBICION DE PELICULAS CINEMATOGRAFICAS Y VIDEOS|
1.0|789120.0|3.0|4.0|GIRON|8121|LIMPIEZA GENERAL INTERIOR DE EDIFICIOS|
131.0|3189360.0|119.0|28.0|SOGAMOSO|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
24.0|1611120.0|42.0|17.0|DUITAMA|5511|ALOJAMIENTO EN HOTELES|
1.0|32880.0|1.0|0.0|SANTAFE DE BOGOTA|1062|DESCAFEINADO- TOSTION Y MOLIENDA DEL CAFE|
10.0|723360.0|22.0|0.0|DUITAMA|8512|EDUCACION PREESCOLAR|
1.0|0.0|2.0|2.0|RAMIRIQUI|1020|PROCESAMIENTO Y CONSERVACION DE FRUTAS- LEGUMBRES- HORTALIZAS Y TUBERCULOS|
4.0|493200.0|20.0|11.0|SANTAFE DE BOGOTA|5612|EXPENDIO POR AUTOSERVICIO DE COMIDAS PREPARADAS|
24.0|2893440.0|26.0|154.0|TUNJA|4390|OTRAS ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCION DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
10.0|1874160.0|23.0|61.0|DUITAMA|4661|COMERCIO AL POR MAYOR DE COMBUSTIBLES SOLIDOS- LIQUIDOS- GASEOSOS Y PRODUCTOS CONEXOS|
5.0|1446720.0|26.0|45.0|TUNJA|4329|OTRAS INSTALACIONES ESPECIALIZADAS|
3.0|32880.0|3.0|0.0|GARAGOA|4774|COMERCIO AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN ESTABLECIMIENTOS ESPECIALIZADOS|
9.0|887760.0|3.0|24.0|BELEN|4923|TRANSPORTE DE CARGA POR CARRETERA|
1.0|32880.0|1.0|1.0|CALI|4711|COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS- BEBIDAS O TABACO|
1.0|131520.0|0.0|2.0|MEDELLIN|4921|TRANSPORTE DE PASAJEROS|
13.0|1775520.0|31.0|200.0|DUITAMA|3312|MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO|
12.0|2992080.0|52.0|62.0|PUERTO BOYACA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
53.0|7398000.0|202.0|62.0|TUNJA|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
1.0|0.0|0.0|0.0|SAN ANDRES DE TUMACO|5511|ALOJAMIENTO EN HOTELES|
1.0|0.0|1.0|0.0|SOATA|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
8.0|657600.0|20.0|6.0|SANTAFE DE BOGOTA|2023|FABRICACION DE JABONES Y DETERGENTES- PREPARADOS PARA LIMPIAR Y PULIR- PERFUMES Y PREPARADOS DE TOCADOR|
7.0|427440.0|4.0|14.0|CHIQUINQUIRA|4210|CONSTRUCCION DE CARRETERAS Y VIAS DE FERROCARRIL|
16.0|986400.0|7.0|32.0|SANTA ROSA DE VITERBO|4923|TRANSPORTE DE CARGA POR CARRETERA|
2.0|460320.0|3.0|9.0|DUITAMA|6120|ACTIVIDADES DE TELECOMUNICACIONES INALAMBRICAS|
4.0|822000.0|3.0|17.0|DUITAMA|1690|FABRICACION DE OTROS PRODUCTOS DE MADERA- FABRICACION DE ARTICULOS DE CORCHO- CESTERIA Y ESPARTERIA|
5.0|690480.0|11.0|9.0|SOGAMOSO|4652|COMERCIO AL POR MAYOR DE EQUIPO- PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES|
5.0|4175760.0|69.0|65.0|DUITAMA|4690|COMERCIO AL POR MAYOR NO ESPECIALIZADO|
1.0|75640.0|0.0|2.0|RAMIRIQUI|0150|EXPLOTACION MIXTA (AGRICOLA Y PECUARIA)|
9.0|4438800.0|85.0|87.0|DUITAMA|1081|ELABORACION DE PRODUCTOS DE PANADERIA|
1.0|65760.0|0.0|4.0|PAIPA|2396|CORTE- TALLADO Y ACABADO DE LA PIEDRA|
1.0|263040.0|1.0|6.0|DUITAMA|2392|FABRICACION DE MATERIALES DE ARCILLA PARA LA CONSTRUCCION|
5.0|756240.0|4.0|27.0|SANTAFE DE BOGOTA|4520|MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES|
8.0|5392320.0|98.0|48.0|DUITAMA|5613|EXPENDIO DE COMIDAS PREPARADAS EN CAFETERIAS|
1.0|0.0|0.0|2.0|FLORESTA|0144|CRIA DE GANADO PORCINO|
2.0|32880.0|1.0|1.0|DUITAMA|4112|CONSTRUCCION DE EDIFICIOS NO RESIDENCIALES|
6.0|789120.0|17.0|35.0|DUITAMA|4390|OTRAS ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCION DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
3.0|32880.0|5.0|3.0|BELEN|7110|ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA|
3.0|1117920.0|27.0|13.0|DUITAMA|1082|ELABORACION DE CACAO- CHOCOLATE Y PRODUCTOS DE CONFITERIA|
1.0|4208640.0|21.0|175.0|SANTAFE DE BOGOTA|1910|FABRICACION DE PRODUCTOS DE HORNOS DE COQUE|
3.0|1841280.0|76.0|1.0|DUITAMA|8899|OTRAS ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO N.C.P|
7.0|98640.0|9.0|1.0|VILLA DE LEYVA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
58.0|4537440.0|145.0|21.0|TUNJA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
7.0|47051280.0|126.0|1540.0|SOGAMOSO|2410|INDUSTRIAS BASICAS DE HIERRO Y DE ACERO|
2.0|197280.0|2.0|1.0|TUNJA|2022|FABRICACION DE PINTURAS- BARNICES Y REVESTIMIENTOS SIMILARES- TINTAS PARA IMPRESION Y MASILLAS|
2.0|197280.0|2.0|1.0|CHIQUINQUIRA|4649|COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMESTICOS NCP|
1.0|0.0|4.0|14.0|COMBITA|2392|FABRICACION DE MATERIALES DE ARCILLA PARA LA CONSTRUCCION|
6.0|1348080.0|14.0|76.0|SANTAFE DE BOGOTA|4661|COMERCIO AL POR MAYOR DE COMBUSTIBLES SOLIDOS- LIQUIDOS- GASEOSOS Y PRODUCTOS CONEXOS|
16.0|8680320.0|47.0|269.0|DUITAMA|8110|ACTIVIDADES COMBINADAS DE APOYO A INSTALACIONES|
12.0|295920.0|10.0|40.0|TUNJA|6201|ACTIVIDADES DE DESARROLLO DE SISTEMAS INFORMATICOS (PLANIFICACION- ANALISIS- DISEÑ- PROGRAMACION- PRUEBAS)|
2.0|65760.0|3.0|2.0|TUNJA|5514|ALOJAMIENTO RURAL|
7.0|1413840.0|21.0|50.0|MONIQUIRA|1082|ELABORACION DE CACAO- CHOCOLATE Y PRODUCTOS DE CONFITERIA|
1.0|131520.0|4.0|1.0|SOGAMOSO|5630|EXPENDIO DE BEBIDAS ALCOHOLICAS PARA EL CONSUMO DENTRO DEL ESTABLECIMIENTO|
1.0|0.0|0.0|0.0|VILLA DE LEYVA|4721|COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS|
117.0|3419520.0|106.0|15.0|DUITAMA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
2.0|0.0|0.0|0.0|DUITAMA|2819|FABRICACION DE OTROS TIPOS DE MAQUINARIA Y EQUIPO DE USO GENERAL NCP|
2.0|65760.0|0.0|6.0|CHITA|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
3.0|657600.0|10.0|11.0|TUNJA|1011|PROCESAMIENTO Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS|
6.0|1545360.0|25.0|12.0|DUITAMA|2023|FABRICACION DE JABONES Y DETERGENTES- PREPARADOS PARA LIMPIAR Y PULIR- PERFUMES Y PREPARADOS DE TOCADOR|
6.0|1775520.0|43.0|22.0|DUITAMA|7911|ACTIVIDADES DE LAS AGENCIAS DE VIAJE|
11.0|2334480.0|41.0|39.0|PAIPA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
23.0|1611120.0|47.0|25.0|DUITAMA|9491|ACTIVIDADES DE ASOCIACIONES RELIGIOSAS|
29.0|3879840.0|97.0|49.0|DUITAMA|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
